# FeatureNumber	PValue
0.0	8.091532647778537e-107
1.0	0.0
2.0	0.0
3.0	0.0
4.0	5.911808427572779e-09
5.0	0.4224807904189737
6.0	8.972367214619204e-57
7.0	1.4587284303322037e-110
8.0	0.0003096405872427305
9.0	1.4028772652040966e-05
10.0	1.0758193594058915e-169
11.0	1.702803191073333e-52
12.0	1.0412372306128923e-88
13.0	1.1946467108556563e-114
14.0	0.0
15.0	3.079580964350069e-86
16.0	1.5169518006576923e-25
17.0	2.0027852134414098e-08
18.0	0.0
19.0	0.0
20.0	3.645773477164664e-75
21.0	4.207790562393526e-07
22.0	0.00571161363982204
23.0	4.2983369928430425e-307
24.0	4.4776288555966554e-157
25.0	1.5626766860675124e-07
27.0	1.3404585987388815e-50
28.0	5.388703143022417e-40
30.0	3.1204790726114714e-73
31.0	5.464524407469518e-26
32.0	1.437810266417371e-116
33.0	1.2049482106594224e-307
34.0	1.5626766860675124e-07
35.0	0.7643143346008838
36.0	5.058777645891081e-05
37.0	1.51554136870935e-65
38.0	8.53994882538172e-276
39.0	5.2668174381371284e-208
40.0	4.799517163049362e-40
41.0	1.0339182581017048e-38
42.0	1.8163918816387777e-53
43.0	7.075395892394651e-151
44.0	0.0
45.0	0.0
47.0	1.1013713439506637e-140
48.0	1.4041512110227452e-181
49.0	5.2673496599914e-12
50.0	8.135044926301338e-135
51.0	1.2624221170801939e-93
52.0	0.0
53.0	8.641580839303455e-273
54.0	5.512664793687427e-217
55.0	0.0
56.0	0.0015987635349031242
57.0	9.48731641025745e-15
58.0	7.032596939316388e-17
59.0	2.731810610870084e-06
60.0	9.166264166231228e-39
61.0	6.795608115789702e-05
62.0	1.5512587464524865e-14
63.0	1.4107138262345413e-14
64.0	1.4110362594528239e-05
65.0	3.468665868018689e-291
66.0	0.0
67.0	4.641229387425498e-40
68.0	0.0
69.0	0.0
70.0	0.0
72.0	5.550070770648437e-276
73.0	3.7160107767204506e-213
74.0	1.4546554108795197e-68
75.0	0.16796149127613197
76.0	0.0014781942908444821
77.0	0.0008456711182591209
78.0	2.1184594627380592e-122
79.0	3.9633200785667094e-16
80.0	2.618011035296028e-08
81.0	5.575715180968003e-52
82.0	1.1375936102166925e-31
83.0	5.006244298714531e-173
84.0	4.752625885521205e-160
86.0	6.242215098175952e-15
88.0	0.0
89.0	0.0
90.0	0.0
91.0	4.561265586400002e-08
92.0	8.470486386597964e-285
93.0	9.92987652799535e-40
94.0	0.3290826788245791
95.0	3.8851705916144723e-128
96.0	1.2274725143606637e-220
97.0	0.0
98.0	0.0
99.0	8.999275188736584e-307
100.0	1.0756149401953357e-116
101.0	3.7393036776103355e-13
102.0	3.398528863600641e-26
103.0	1.5579178951303944e-07
104.0	1.9199213436670072e-237
105.0	2.4043080306147665e-150
