# FeatureNumber	PValue
0.0	7.96877006746e-80
1.0	0.0
2.0	0.0
3.0	0.0
4.0	2.61864796445e-112
5.0	2.06869729407e-06
6.0	0.0
7.0	0.0
8.0	3.31694606507e-206
9.0	3.15673762133e-220
10.0	0.0
11.0	1.74128754826e-102
12.0	1.70148560028e-134
13.0	0.0
14.0	0.0
15.0	2.45562479891e-249
16.0	0.0
17.0	1.49071782124e-83
18.0	0.0
19.0	0.0
20.0	0.0
21.0	5.99747801355e-71
22.0	0.138160200354
23.0	0.0
24.0	0.0
25.0	2.97334249332e-72
27.0	5.86089669234e-104
28.0	2.44221764731e-221
30.0	6.75523835842e-29
31.0	1.48279899805e-172
32.0	0.0
33.0	0.0
34.0	2.97334249332e-72
35.0	5.99684395432e-26
36.0	1.71489551246e-123
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	1.6054543367e-249
43.0	0.0
44.0	0.0
45.0	0.0
47.0	0.0
48.0	0.0
49.0	8.21968094233e-105
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	8.72334675487e-140
57.0	3.31140672398e-168
58.0	4.7730509409e-132
59.0	8.37927927074e-26
60.0	6.16532156816e-248
61.0	0.349527082046
62.0	9.59812830526e-119
63.0	0.0
64.0	1.66876000386e-09
65.0	0.0
66.0	0.0
67.0	2.70073715166e-255
68.0	0.0
69.0	0.0
70.0	0.0
72.0	1.8767721496e-125
73.0	0.203940870418
74.0	2.57814864354e-21
75.0	6.2982308802e-38
76.0	1.40166160571e-72
77.0	8.09526345209e-31
78.0	0.0
79.0	1.68247123138e-110
80.0	0.00105383446625
81.0	2.18420725033e-62
82.0	5.0936574372e-88
83.0	0.0
84.0	0.0
86.0	6.88510297435e-12
88.0	0.0
89.0	0.0
90.0	0.0
91.0	3.7189507774e-66
92.0	2.87158752961e-223
93.0	8.04107707457e-249
94.0	1.02499184426e-269
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	4.74020516051e-212
100.0	1.82324822016e-118
101.0	6.37987972862e-96
102.0	4.95130254394e-104
103.0	4.1052146984e-43
104.0	5.87899072835e-140
105.0	0.0
106.0	0.0
107.0	5.42898007143e-98
108.0	7.75247024554e-66
109.0	1.73937957104e-15
110.0	0.0
111.0	1.02913416127e-51
112.0	0.0
113.0	2.6116726334e-73
114.0	0.0
116.0	1.46165024471e-98
117.0	0.0
118.0	2.67563381187e-194
119.0	0.0
120.0	0.0
121.0	1.3601841082e-39
122.0	3.02481000348e-69
123.0	0.0
124.0	0.0
125.0	0.0
126.0	3.73167233568e-292
127.0	3.56721501564e-12
128.0	1.8297540177e-17
129.0	3.90177478934e-18
130.0	0.0
131.0	0.0
132.0	0.0
133.0	0.0
134.0	8.5667538041e-242
135.0	0.0
136.0	0.0
137.0	0.0
138.0	0.0
139.0	0.0
140.0	0.0
141.0	0.0
142.0	4.81618549763e-06
143.0	0.0
144.0	3.77017625969e-248
145.0	1.58672864067e-92
146.0	3.52118764077e-166
147.0	0.0
148.0	3.75780567704e-147
150.0	5.20620954057e-195
151.0	0.0
152.0	0.0
153.0	0.0
154.0	0.0
155.0	0.0
156.0	1.33861263402e-265
158.0	7.64648714494e-179
159.0	2.72629452766e-208
160.0	3.82582491605e-309
161.0	0.0
162.0	0.0
163.0	0.00028151316765
164.0	0.0
165.0	2.15113306285e-12
166.0	0.0
167.0	0.0
168.0	0.0
169.0	0.0
170.0	0.0
171.0	0.0
172.0	0.0
173.0	0.0
174.0	0.0
175.0	0.0
176.0	0.0
177.0	0.0
178.0	0.0
179.0	8.30060820441e-156
180.0	0.0
181.0	4.30046371459e-35
182.0	6.36506918363e-98
183.0	4.50772947209e-32
184.0	0.0
185.0	0.0
186.0	0.0
187.0	4.73761561887e-15
188.0	0.0024574728013
189.0	3.28367487831e-30
190.0	7.02249940526e-08
191.0	6.33732692254e-92
192.0	0.0
193.0	0.000327399199028
194.0	0.0
195.0	0.0
196.0	0.0
197.0	0.0
198.0	0.0
199.0	4.47158265436e-291
200.0	2.60404197799e-126
201.0	0.0
202.0	1.2981678429e-95
203.0	3.68240180981e-257
204.0	7.28606695184e-42
205.0	0.0
206.0	0.0
207.0	0.0
208.0	0.0
209.0	4.81979452695e-238
210.0	0.0
211.0	0.0
212.0	0.0
213.0	0.00192758100985
214.0	0.0
215.0	0.0
216.0	0.0
217.0	0.0
218.0	0.0
219.0	0.0
220.0	6.93186891838e-78
221.0	1.94064617466e-84
222.0	0.0
223.0	0.0
224.0	0.0
225.0	0.0
226.0	0.0
227.0	5.12184138821e-47
228.0	0.0
229.0	3.48816970602e-110
230.0	0.0
231.0	0.0
232.0	0.0
233.0	0.0
234.0	1.94713850008e-239
235.0	4.3234609909e-227
236.0	0.0
237.0	2.08214889165e-112
238.0	1.26220159056e-302
239.0	5.55888639773e-07
240.0	1.60149424243e-273
241.0	5.43838043314e-130
242.0	0.0
243.0	0.0
244.0	0.448765377391
245.0	2.28856666788e-131
246.0	0.0
247.0	1.69187195783e-261
248.0	9.69956736016e-90
249.0	0.000799335760112
250.0	0.0
251.0	0.0
252.0	8.93781424013e-164
253.0	6.08069875598e-157
254.0	0.0
255.0	4.3234609909e-227
256.0	2.23339679479e-305
257.0	1.08678613287e-92
258.0	0.0
259.0	7.44100552567e-149
260.0	4.42877076636e-81
261.0	0.0
262.0	6.53043367929e-162
263.0	3.52144448903e-239
264.0	1.10966978747e-287
265.0	1.58578372391e-267
266.0	0.0
267.0	1.26559236102e-141
268.0	1.1209263152e-17
269.0	5.81075624969e-09
270.0	0.00588439380078
271.0	0.00398758510889
272.0	1.63580534261e-171
273.0	0.00226388100218
274.0	0.280085442849
275.0	0.0
276.0	0.0
277.0	3.45407725011e-195
278.0	0.0
279.0	0.0
280.0	0.0
281.0	5.2335114872e-24
282.0	0.0
283.0	0.0
284.0	1.21540714504e-27
285.0	1.17354938332e-09
286.0	3.81498071076e-26
287.0	3.88700021371e-14
288.0	0.0
289.0	0.0
290.0	1.62991448265e-139
291.0	0.0
292.0	0.0
293.0	0.0
294.0	0.0
295.0	1.76295401177e-190
296.0	1.5060195103e-145
297.0	1.36250663163e-162
298.0	4.3234609909e-227
299.0	0.0
300.0	0.0
301.0	0.0
302.0	0.0
303.0	4.50386339036e-190
304.0	2.92367761081e-112
305.0	0.0628564484191
306.0	5.57049760715e-70
307.0	0.0
308.0	6.47455554566e-43
309.0	0.0
310.0	4.3234609909e-227
311.0	4.3234609909e-227
312.0	5.71721709335e-223
313.0	0.0032990381686
314.0	4.3234609909e-227
315.0	5.11216925284e-288
316.0	6.71163334234e-182
317.0	1.23979997096e-110
318.0	2.36237811933e-300
319.0	2.36237811933e-300
320.0	2.31041839713e-23
321.0	1.2352606444e-05
322.0	0.0
323.0	4.68846600717e-33
324.0	0.0
325.0	0.0
326.0	0.0
327.0	0.0
328.0	0.0
329.0	0.0
330.0	1.57291924196e-162
331.0	0.0
332.0	0.0
333.0	7.09632171997e-06
334.0	3.02968479452e-31
335.0	0.0
336.0	0.0
337.0	0.0
338.0	1.24020530285e-186
339.0	2.92038656561e-09
340.0	0.0
341.0	0.0
342.0	0.0
343.0	1.26241104314e-197
344.0	0.0
345.0	3.46596825856e-188
346.0	1.36468511433e-246
347.0	0.0
348.0	0.0
349.0	0.000275939243253
350.0	0.0
351.0	0.0
352.0	0.0
353.0	1.33385499428e-73
354.0	0.0
355.0	0.0
356.0	0.0
357.0	1.52649347959e-147
358.0	1.96808189501e-266
359.0	0.0
360.0	2.73723215386e-117
361.0	1.17292593761e-25
362.0	0.0
363.0	0.0
364.0	0.0
365.0	1.20984589494e-232
366.0	2.41678538984e-05
367.0	0.000964295575769
368.0	1.47530999636e-120
369.0	6.62390316392e-238
370.0	0.0
371.0	1.57258902269e-242
372.0	3.08659766408e-68
373.0	3.53831799996e-134
374.0	0.0
375.0	0.0
376.0	0.0
377.0	0.0
378.0	0.0
379.0	0.0
380.0	0.0
381.0	0.0
382.0	0.0
383.0	1.74967825341e-266
384.0	4.08970888727e-08
385.0	0.761068977213
386.0	1.6874862492e-33
387.0	9.37862195061e-88
388.0	2.66013555605e-87
389.0	1.42486373737e-87
390.0	2.92140238965e-24
391.0	2.31172756879e-30
392.0	2.60782330288e-23
393.0	1.9700223503e-131
394.0	7.94287839681e-53
395.0	3.95947523479e-30
396.0	3.95947523479e-30
397.0	1.33387778642e-96
398.0	4.41156541581e-14
399.0	1.82187295675e-65
400.0	0.0
401.0	0.0
402.0	0.0
403.0	0.0
404.0	0.0
405.0	0.0
406.0	2.12342774032e-171
407.0	8.7836108613e-93
408.0	1.762109691e-132
409.0	0.0
410.0	5.10688217225e-185
411.0	3.41935381272e-235
412.0	0.0
413.0	0.0
414.0	0.0
415.0	1.45676478199e-117
416.0	1.70818523213e-206
417.0	9.17742912468e-67
418.0	0.0
419.0	0.0
420.0	4.65908478333e-208
421.0	0.000852465361903
422.0	1.20282658647e-125
423.0	2.04172018377e-82
424.0	6.64498961154e-05
425.0	0.000300831845248
426.0	1.41230877048e-05
427.0	0.0
428.0	0.0
429.0	3.29177843143e-61
430.0	8.52728866945e-154
431.0	3.51312897123e-165
432.0	0.0
433.0	0.0
434.0	2.97334249332e-72
435.0	2.97334249332e-72
436.0	2.97334249332e-72
437.0	2.97334249332e-72
438.0	7.91342430741e-87
439.0	3.39898024296e-80
440.0	1.82874381769e-96
441.0	6.58531615241e-26
442.0	0.0843115896192
443.0	9.50581970921e-187
444.0	5.18185353044e-16
445.0	4.70748044121e-09
446.0	0.0
447.0	5.15670158361e-233
448.0	0.0
449.0	0.0
450.0	0.0
451.0	6.42402863604e-133
452.0	6.38807527612e-103
453.0	5.00679004604e-98
454.0	0.0
455.0	7.2367026073e-168
456.0	1.0341520305e-208
457.0	3.07535167752e-106
458.0	1.67883613456e-37
459.0	7.37166051542e-41
460.0	5.09608370296e-88
461.0	3.89069809372e-119
462.0	1.70438654822e-16
463.0	2.73058693139e-226
464.0	0.0
465.0	9.81164812502e-137
466.0	3.41880108313e-79
467.0	0.0
468.0	2.50082508676e-34
469.0	0.0
470.0	4.364856714e-106
471.0	6.39854859119e-131
472.0	0.0
473.0	2.52722951962e-220
474.0	6.26689142207e-256
475.0	3.96921772042e-222
476.0	0.0
477.0	2.5574652011e-61
478.0	0.0
479.0	0.0
480.0	0.0
481.0	3.35490013621e-265
482.0	1.91898412105e-158
483.0	5.41729325753e-79
484.0	1.93563870103e-235
485.0	0.0
486.0	0.0
487.0	0.0
488.0	4.29399632573e-16
489.0	3.69965408551e-46
490.0	4.54539924157e-10
491.0	2.13839892707e-62
492.0	0.0
493.0	0.0
494.0	0.0
495.0	6.02227494252e-246
496.0	4.45873234972e-09
497.0	0.736774775306
498.0	7.08829254333e-152
499.0	0.372612428265
500.0	0.0
501.0	8.80169279946e-273
502.0	9.81180044818e-304
503.0	0.0
504.0	3.13685335541e-92
505.0	6.71383304691e-112
506.0	0.0
507.0	1.70251106798e-78
508.0	0.0
509.0	5.51364945945e-124
510.0	0.0
511.0	1.18679855623e-201
512.0	0.0
513.0	0.0
514.0	1.44311446349e-97
515.0	0.0
516.0	0.0
517.0	1.73439704306e-83
518.0	4.52623087871e-118
519.0	0.0
520.0	0.0
521.0	2.75757443906e-102
522.0	0.0
523.0	1.59114964786e-156
524.0	7.66776080469e-115
525.0	2.70084848918e-137
526.0	1.09267427307e-90
527.0	0.0
528.0	0.00183275356556
529.0	6.83841898236e-17
530.0	0.0
531.0	3.85535887035e-27
532.0	1.91459709405e-35
533.0	1.94697247656e-251
534.0	2.57918527673e-118
535.0	3.43634644083e-05
536.0	2.77839426401e-104
537.0	7.96877006746e-80
538.0	0.0
539.0	0.0
540.0	0.0
543.0	0.0
544.0	0.0
547.0	0.0
548.0	1.74128754826e-102
549.0	1.70148560028e-134
550.0	0.0
551.0	0.0
552.0	2.45562479891e-249
553.0	0.0
554.0	1.49071782124e-83
555.0	0.0
556.0	0.0
558.0	5.99747801355e-71
564.0	5.86089669234e-104
565.0	2.44221764731e-221
567.0	6.75523835842e-29
568.0	1.48279899805e-172
569.0	0.0
572.0	5.99684395432e-26
573.0	1.71489551246e-123
575.0	0.0
576.0	0.0
577.0	0.0
578.0	0.0
579.0	1.6054543367e-249
580.0	0.0
581.0	0.0
582.0	0.0
584.0	0.0
585.0	0.0
586.0	8.21968094233e-105
587.0	0.0
588.0	0.0
589.0	0.0
590.0	0.0
591.0	0.0
592.0	0.0
593.0	8.72334675487e-140
594.0	3.31140672398e-168
596.0	8.37927927074e-26
597.0	6.16532156816e-248
600.0	0.0
601.0	1.66876000386e-09
602.0	0.0
603.0	0.0
605.0	0.0
606.0	0.0
607.0	0.0
609.0	1.8767721496e-125
610.0	0.203940870418
611.0	2.57814864354e-21
612.0	6.2982308802e-38
613.0	1.40166160571e-72
614.0	8.09526345209e-31
616.0	1.68247123138e-110
617.0	0.00105383446625
618.0	2.18420725033e-62
619.0	5.0936574372e-88
620.0	0.0
621.0	0.0
623.0	6.88510297435e-12
625.0	0.0
626.0	0.0
627.0	0.0
628.0	3.7189507774e-66
629.0	2.87158752961e-223
630.0	8.04107707457e-249
631.0	1.02499184426e-269
632.0	0.0
634.0	0.0
635.0	0.0
636.0	4.74020516051e-212
637.0	1.82324822016e-118
638.0	6.37987972862e-96
639.0	4.95130254394e-104
640.0	4.1052146984e-43
641.0	5.87899072835e-140
642.0	0.0
643.0	0.0
644.0	5.42898007143e-98
645.0	7.75247024554e-66
646.0	1.73937957104e-15
647.0	0.0
648.0	1.02913416127e-51
649.0	0.0
650.0	2.6116726334e-73
651.0	0.0
653.0	1.46165024471e-98
654.0	0.0
657.0	0.0
658.0	1.3601841082e-39
659.0	3.02481000348e-69
660.0	0.0
661.0	0.0
662.0	0.0
663.0	3.73167233568e-292
664.0	3.56721501564e-12
665.0	1.8297540177e-17
666.0	3.90177478934e-18
667.0	0.0
668.0	0.0
669.0	0.0
670.0	0.0
671.0	8.5667538041e-242
672.0	0.0
673.0	0.0
676.0	0.0
677.0	0.0
679.0	4.81618549763e-06
680.0	0.0
681.0	3.77017625969e-248
682.0	1.58672864067e-92
684.0	0.0
685.0	3.75780567704e-147
687.0	5.20620954057e-195
688.0	0.0
689.0	0.0
690.0	0.0
691.0	0.0
692.0	0.0
693.0	1.33861263402e-265
696.0	2.72629452766e-208
697.0	3.82582491605e-309
699.0	0.0
700.0	0.00028151316765
702.0	2.15113306285e-12
703.0	0.0
704.0	0.0
705.0	0.0
706.0	0.0
707.0	0.0
709.0	0.0
710.0	0.0
711.0	0.0
712.0	0.0
713.0	0.0
714.0	0.0
715.0	0.0
716.0	8.30060820441e-156
720.0	4.50772947209e-32
721.0	0.0
722.0	0.0
723.0	0.0
724.0	4.73761561887e-15
725.0	0.0024574728013
726.0	3.28367487831e-30
727.0	7.02249940526e-08
728.0	6.33732692254e-92
729.0	0.0
730.0	0.000327399199028
732.0	0.0
733.0	0.0
734.0	0.0
735.0	0.0
736.0	4.47158265436e-291
737.0	2.60404197799e-126
738.0	0.0
739.0	1.2981678429e-95
740.0	3.68240180981e-257
741.0	7.28606695184e-42
742.0	0.0
743.0	0.0
744.0	0.0
745.0	0.0
746.0	4.81979452695e-238
747.0	0.0
748.0	0.0
749.0	0.0
750.0	0.00192758100985
751.0	0.0
752.0	0.0
753.0	0.0
754.0	0.0
755.0	0.0
757.0	6.93186891838e-78
758.0	1.94064617466e-84
759.0	0.0
760.0	0.0
761.0	0.0
762.0	0.0
763.0	0.0
764.0	5.12184138821e-47
