# FeatureNumber	PValue
0.0	7.97239533355e-80
1.0	0.0
2.0	0.0
3.0	0.0
4.0	2.61488207863e-112
5.0	2.06588250783e-06
6.0	0.0
7.0	0.0
8.0	3.30894959965e-206
9.0	3.14881888904e-220
10.0	0.0
11.0	1.74169756848e-102
12.0	1.69850696072e-134
13.0	0.0
14.0	0.0
15.0	2.43785345567e-249
16.0	0.0
17.0	1.4913428207e-83
18.0	0.0
19.0	0.0
20.0	0.0
21.0	5.99268620821e-71
22.0	0.138154778267
23.0	0.0
24.0	0.0
25.0	2.97093428672e-72
27.0	5.85330077937e-104
28.0	2.43600990633e-221
30.0	6.75198558962e-29
31.0	1.47955864234e-172
32.0	0.0
33.0	0.0
34.0	2.97093428672e-72
35.0	5.99412223915e-26
36.0	1.70945276345e-123
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	1.59376487958e-249
43.0	0.0
44.0	0.0
45.0	0.0
47.0	0.0
48.0	0.0
49.0	8.20868512823e-105
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	8.70748611129e-140
57.0	3.30433182631e-168
58.0	4.75704250062e-132
59.0	8.37562890035e-26
60.0	6.12150524485e-248
61.0	0.349518391018
62.0	9.56815636609e-119
63.0	0.0
64.0	1.66636320965e-09
65.0	0.0
66.0	0.0
67.0	2.68083164679e-255
68.0	0.0
69.0	0.0
70.0	0.0
72.0	1.87073776663e-125
73.0	0.20393433629
74.0	2.57714089814e-21
75.0	6.30256512176e-38
76.0	1.40236931616e-72
77.0	8.09102322119e-31
78.0	0.0
79.0	1.68013700298e-110
80.0	0.00105372719483
81.0	2.18554007939e-62
82.0	5.09554340145e-88
83.0	0.0
84.0	0.0
86.0	6.87502399638e-12
88.0	0.0
89.0	0.0
90.0	0.0
91.0	3.72112836626e-66
92.0	2.86415905297e-223
93.0	7.98323545238e-249
94.0	1.01703024734e-269
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	4.72841858975e-212
100.0	1.81759165837e-118
101.0	6.38178008629e-96
102.0	4.94481705913e-104
103.0	4.10791682091e-43
104.0	5.86820073561e-140
105.0	0.0
106.0	0.0
107.0	5.43042957751e-98
108.0	7.75706463043e-66
109.0	1.73879812365e-15
110.0	0.0
111.0	1.02979060289e-51
112.0	0.0
113.0	2.6129715131e-73
114.0	0.0
116.0	1.46202086757e-98
117.0	0.0
118.0	2.66940851217e-194
119.0	0.0
120.0	0.0
