	MA	gene_name	gene_name2	ensembl-gene	ensembl-transcript
0	MA0002.1	RUNX1	RUNX1	ENSG00000159216	['ENST00000300305', 'ENST00000344691', 'ENST00000358356', 'ENST00000399237', 'ENST00000399240', 'ENST00000416754', 'ENST00000437180', 'ENST00000455571', 'ENST00000460207', 'ENST00000467577', 'ENST00000467692', 'ENST00000468726', 'ENST00000469087', 'ENST00000475045', 'ENST00000479325', 'ENST00000482318', 'ENST00000494829']
1	MA0003.1	TFAP2A	TFAP2A	ENSG00000137203	['ENST00000319516', 'ENST00000379608', 'ENST00000379613', 'ENST00000461628', 'ENST00000462727', 'ENST00000464323', 'ENST00000465858', 'ENST00000466073', 'ENST00000473652', 'ENST00000474952', 'ENST00000475264', 'ENST00000478375', 'ENST00000482890', 'ENST00000486038', 'ENST00000488193', 'ENST00000489805', 'ENST00000490875', 'ENST00000497266', 'ENST00000498450']
2	MA0003.2	TFAP2A	TFAP2A	ENSG00000137203	['ENST00000319516', 'ENST00000379608', 'ENST00000379613', 'ENST00000461628', 'ENST00000462727', 'ENST00000464323', 'ENST00000465858', 'ENST00000466073', 'ENST00000473652', 'ENST00000474952', 'ENST00000475264', 'ENST00000478375', 'ENST00000482890', 'ENST00000486038', 'ENST00000488193', 'ENST00000489805', 'ENST00000490875', 'ENST00000497266', 'ENST00000498450']
3	MA0003.3	TFAP2A	TFAP2A	ENSG00000137203	['ENST00000319516', 'ENST00000379608', 'ENST00000379613', 'ENST00000461628', 'ENST00000462727', 'ENST00000464323', 'ENST00000465858', 'ENST00000466073', 'ENST00000473652', 'ENST00000474952', 'ENST00000475264', 'ENST00000478375', 'ENST00000482890', 'ENST00000486038', 'ENST00000488193', 'ENST00000489805', 'ENST00000490875', 'ENST00000497266', 'ENST00000498450']
4	MA0007.2	AR	AR	ENSG00000169083	['ENST00000374690', 'ENST00000396043', 'ENST00000396044', 'ENST00000504326', 'ENST00000513847', 'ENST00000514029', 'ENST00000612010', 'ENST00000612452', 'ENST00000613054']
5	MA0009.2	T	T	ENSG00000164458	['ENST00000296946', 'ENST00000366871', 'ENST00000366876', 'ENST00000461348']
6	MA0014.2	PAX5	PAX5	ENSG00000196092	['ENST00000358127', 'ENST00000377840', 'ENST00000377847', 'ENST00000377852', 'ENST00000377853', 'ENST00000414447', 'ENST00000446742', 'ENST00000520083', 'ENST00000520154', 'ENST00000520281', 'ENST00000522003', 'ENST00000522932', 'ENST00000523145', 'ENST00000523241', 'ENST00000523493', 'ENST00000524340', 'ENST00000651199', 'ENST00000651550']
7	MA0014.3	PAX5	PAX5	ENSG00000196092	['ENST00000358127', 'ENST00000377840', 'ENST00000377847', 'ENST00000377852', 'ENST00000377853', 'ENST00000414447', 'ENST00000446742', 'ENST00000520083', 'ENST00000520154', 'ENST00000520281', 'ENST00000522003', 'ENST00000522932', 'ENST00000523145', 'ENST00000523241', 'ENST00000523493', 'ENST00000524340', 'ENST00000651199', 'ENST00000651550']
8	MA0017.1	NR2F1	NR2F1	ENSG00000175745	['ENST00000327111', 'ENST00000502982', 'ENST00000506162', 'ENST00000512697', 'ENST00000615873', 'ENST00000644230', 'ENST00000647447']
9	MA0017.2	NR2F1	NR2F1	ENSG00000175745	['ENST00000327111', 'ENST00000502982', 'ENST00000506162', 'ENST00000512697', 'ENST00000615873', 'ENST00000644230', 'ENST00000647447']
10	MA0018.1	CREB1	CREB1	ENSG00000118260	['ENST00000353267', 'ENST00000414681', 'ENST00000418081', 'ENST00000421139', 'ENST00000430624', 'ENST00000432329', 'ENST00000445803', 'ENST00000446449', 'ENST00000448277', 'ENST00000451164', 'ENST00000452474', 'ENST00000455757', 'ENST00000457101', 'ENST00000464407', 'ENST00000480189', 'ENST00000494094', 'ENST00000494983']
11	MA0018.2	CREB1	CREB1	ENSG00000118260	['ENST00000353267', 'ENST00000414681', 'ENST00000418081', 'ENST00000421139', 'ENST00000430624', 'ENST00000432329', 'ENST00000445803', 'ENST00000446449', 'ENST00000448277', 'ENST00000451164', 'ENST00000452474', 'ENST00000455757', 'ENST00000457101', 'ENST00000464407', 'ENST00000480189', 'ENST00000494094', 'ENST00000494983']
12	MA0018.3	CREB1	CREB1	ENSG00000118260	['ENST00000353267', 'ENST00000414681', 'ENST00000418081', 'ENST00000421139', 'ENST00000430624', 'ENST00000432329', 'ENST00000445803', 'ENST00000446449', 'ENST00000448277', 'ENST00000451164', 'ENST00000452474', 'ENST00000455757', 'ENST00000457101', 'ENST00000464407', 'ENST00000480189', 'ENST00000494094', 'ENST00000494983']
13	MA0024.1	E2F1	E2F1	ENSG00000101412	ENST00000343380
14	MA0024.2	E2F1	E2F1	ENSG00000101412	ENST00000343380
15	MA0024.3	E2F1	E2F1	ENSG00000101412	ENST00000343380
16	MA0025.1	NFIL3	NFIL3	ENSG00000165030	ENST00000297689
17	MA0027.2	EN1	EN1	ENSG00000163064	['ENST00000295206', 'ENST00000546667']
18	MA0028.1	ELK1	ELK1	ENSG00000126767	['ENST00000247161', 'ENST00000343894', 'ENST00000376983', 'ENST00000468956']
19	MA0028.2	ELK1	ELK1	ENSG00000126767	['ENST00000247161', 'ENST00000343894', 'ENST00000376983', 'ENST00000468956']
20	MA0030.1	FOXF2	FOXF2	ENSG00000137273	['ENST00000259806', 'ENST00000645481']
21	MA0031.1	FOXD1	FOXD1	ENSG00000251493	['ENST00000513595', 'ENST00000615637']
22	MA0032.1	FOXC1	FOXC1	ENSG00000054598	['ENST00000380874', 'ENST00000645831']
23	MA0032.2	FOXC1	FOXC1	ENSG00000054598	['ENST00000380874', 'ENST00000645831']
24	MA0033.1	FOXL1	FOXL1	ENSG00000176678	['ENST00000320241', 'ENST00000593625']
25	MA0033.2	FOXL1	FOXL1	ENSG00000176678	['ENST00000320241', 'ENST00000593625']
26	MA0036.1	GATA2	GATA2	ENSG00000179348	['ENST00000341105', 'ENST00000430265', 'ENST00000487848', 'ENST00000489987', 'ENST00000492608', 'ENST00000498200']
27	MA0036.2	GATA2	GATA2	ENSG00000179348	['ENST00000341105', 'ENST00000430265', 'ENST00000487848', 'ENST00000489987', 'ENST00000492608', 'ENST00000498200']
28	MA0036.3	GATA2	GATA2	ENSG00000179348	['ENST00000341105', 'ENST00000430265', 'ENST00000487848', 'ENST00000489987', 'ENST00000492608', 'ENST00000498200']
29	MA0037.1	GATA3	GATA3	ENSG00000107485	['ENST00000346208', 'ENST00000379328', 'ENST00000461472', 'ENST00000481743', 'ENST00000643001', 'ENST00000645492']
30	MA0037.2	GATA3	GATA3	ENSG00000107485	['ENST00000346208', 'ENST00000379328', 'ENST00000461472', 'ENST00000481743', 'ENST00000643001', 'ENST00000645492']
31	MA0037.3	GATA3	GATA3	ENSG00000107485	['ENST00000346208', 'ENST00000379328', 'ENST00000461472', 'ENST00000481743', 'ENST00000643001', 'ENST00000645492']
32	MA0039.3	KLF4	KLF4	ENSG00000136826	['ENST00000374672', 'ENST00000411706', 'ENST00000420475', 'ENST00000493306', 'ENST00000497048', 'ENST00000610832']
33	MA0042.1	FOXI1	FOXI1	ENSG00000168269	['ENST00000306268', 'ENST00000449804']
