MA	Gene Name	Ensembl ID	GM12878-ENCFF853TRI	GM12878-ENCFF305QBE	K562-ENCFF332TWQ	K562-ENCFF425PIK	HepG2-ENCFF430KOC	HepG2-ENCFF966SVU	HeLa-S2-ENCFF504AOD	HeLa-S2-ENCFF214ZYK	H1-ENCFF679BHK	H1-ENCFF289GEC	HUVEC-ENCFF211SQP	HUVEC-ENCFF318QVC	NHEK-ENCFF566XEO	NHEK-ENCFF570MJL	A549-ENCFF578YTC	A549-ENCFF908XTR	HMEC-ENCFF749LVX	HMEC-ENCFF476ARS	HSMM-ENCFF226JIS	HSMM-ENCFF036QPG	MCF-7-ENCFF735QLM	MCF-7-ENCFF317XCR	Th1-ENCFF879KHB	Th1-ENCFF979WIG	BE2C-ENCFF242CZI	BE2C-ENCFF465LLS	BE2C-ENCFF256IPJ	BJ-ENCFF982HRR	BJ-ENCFF967KIB	BJ-ENCFF154BBN	Jurkat-ENCFF799GFQ	Jurkat-ENCFF847SAP	Jurkat-ENCFF226OYU	Monocytes-CD14+-ENCFF167IBQ	Monocytes-CD14+-ENCFF857HLU	Monocytes-CD14+-ENCFF780XKG	NHLF-ENCFF609ZJO	NHLF-ENCFF400BDD	Panc1-ENCFF921FTG	Panc1-ENCFF149WMH	Panc1-ENCFF249UJV	CD20-ENCFF642IQW	CD20-ENCFF410IPV	CD34-ENCFF040ZTX	CD34-ENCFF932WWC	Ishikawa-ES-ENCFF770CRK	Ishikawa-ES-ENCFF667ZBZ	Chorion-ENCFF954RVV	Chorion-ENCFF376HRQ	HeLa-S3-ENCFF255QOM	Hepatocytes-ENCFF264EOK	Hepatocytes-ENCFF064IQR	T-47D-ENCFF549FIH	T-47D-ENCFF234TQB
MA0002.1	RUNX1	ENSG00000159216	2.8499999999999996	3.4100000000000006	23.790000000000003	12.55	4.2700000000000005	6.18	11.65	7.5200000000000005	0.15000000000000002	0.0	9.879999999999999	12.83	28.72	37.53	16.88	4.77	38.43000000000001	40.77	85.74000000000001	93.07	20.77	15.469999999999997	27.069999999999997	26.84	0.42	0.43	0.05	13.939999999999998	18.29	26.979999999999997	60.67	50.849999999999994	52.89	36.89	37.36	47.47	18.67	26.209999999999997	10.819999999999999	11.059999999999999	10.639999999999999	23.110000000000003	15.910000000000002	83.81	91.46	2.17	2.2600000000000002	4.29	5.49	7.5200000000000005	11.860000000000001	11.53	7.06	9.84
MA0003.1	TFAP2A	ENSG00000137203	0.19	0.15	7.62	3.41	0.28	0.15	35.050000000000004	66.89	0.5700000000000001	0.7	0.08	0.0	30.879999999999995	24.390000000000004	26.2	8.780000000000001	16.24	17.099999999999998	0.09	0.09	2.6100000000000003	1.57	0.0	0.0	2.08	2.13	2.23	10.599999999999998	10.62	10.729999999999999	1.2	1.9500000000000002	1.65	0.0	0.0	0.0	0.04	0.04	76.13000000000001	77.48	87.01	0.0	0.01	0.01	0.0	3.51	2.9699999999999998	270.79999999999995	292.32	65.85000000000001	14.330000000000002	10.129999999999999	127.63	136.66000000000003
MA0003.2	TFAP2A	ENSG00000137203	0.19	0.15	7.62	3.41	0.28	0.15	35.050000000000004	66.89	0.5700000000000001	0.7	0.08	0.0	30.879999999999995	24.390000000000004	26.2	8.780000000000001	16.24	17.099999999999998	0.09	0.09	2.6100000000000003	1.57	0.0	0.0	2.08	2.13	2.23	10.599999999999998	10.62	10.729999999999999	1.2	1.9500000000000002	1.65	0.0	0.0	0.0	0.04	0.04	76.13000000000001	77.48	87.01	0.0	0.01	0.01	0.0	3.51	2.9699999999999998	270.79999999999995	292.32	65.85000000000001	14.330000000000002	10.129999999999999	127.63	136.66000000000003
MA0003.3	TFAP2A	ENSG00000137203	0.19	0.15	7.62	3.41	0.28	0.15	35.050000000000004	66.89	0.5700000000000001	0.7	0.08	0.0	30.879999999999995	24.390000000000004	26.2	8.780000000000001	16.24	17.099999999999998	0.09	0.09	2.6100000000000003	1.57	0.0	0.0	2.08	2.13	2.23	10.599999999999998	10.62	10.729999999999999	1.2	1.9500000000000002	1.65	0.0	0.0	0.0	0.04	0.04	76.13000000000001	77.48	87.01	0.0	0.01	0.01	0.0	3.51	2.9699999999999998	270.79999999999995	292.32	65.85000000000001	14.330000000000002	10.129999999999999	127.63	136.66000000000003
MA0007.2	AR	ENSG00000169083	0.0	0.01	0.0	0.0	0.0	0.03	0.0	0.0	2.86	3.48	4.53	4.030000000000001	0.17	0.22000000000000003	7.720000000000001	8.760000000000002	0.0	0.0	19.39	20.130000000000003	7.65	7.51	0.03	0.06	0.06	0.06	0.05	9.39	9.35	11.34	0.0	0.0	0.0	0.0	0.0	0.0	11.049999999999999	11.209999999999999	0.03	0.03	0.03	0.0	0.0	0.97	1.0000000000000002	0.68	0.6799999999999999	0.18	0.19	0.0	1.12	1.07	13.419999999999998	18.369999999999997
MA0009.2	T	ENSG00000164458	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.15000000000000002	0.31	0.0	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.5700000000000001	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MA0014.2	PAX5	ENSG00000196092	23.21	26.07	0.08	0.04	0.0	0.0	0.01	0.0	0.25	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30000000000000004	0.28	1.34	1.35	9.83	9.95	8.56	0.0	0.0	0.0	0.4	0.08	0.05	0.1	0.1	0.18	0.0	0.0	0.04	0.04	0.04	127.75999999999999	125.1	1.1	0.9100000000000001	0.0	0.0	0.04	0.03	0.0	0.0	0.0	0.01	0.0
MA0014.3	PAX5	ENSG00000196092	23.21	26.07	0.08	0.04	0.0	0.0	0.01	0.0	0.25	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30000000000000004	0.28	1.34	1.35	9.83	9.95	8.56	0.0	0.0	0.0	0.4	0.08	0.05	0.1	0.1	0.18	0.0	0.0	0.04	0.04	0.04	127.75999999999999	125.1	1.1	0.9100000000000001	0.0	0.0	0.04	0.03	0.0	0.0	0.0	0.01	0.0
MA0017.1	NR2F1	ENSG00000175745	0.01	0.04	0.0	0.0	70.71000000000001	77.00999999999999	26.849999999999998	35.040000000000006	0.14	0.75	45.49	51.12	0.03	0.04	17.94	3.9499999999999997	4.23	6.59	9.969999999999999	22.87	0.36000000000000004	0.34	0.04	0.04	8.89	9.47	10.16	19.98	20.049999999999997	30.990000000000002	0.19	0.0	0.0	0.0	0.0	0.0	54.50000000000001	79.8	94.94000000000001	123.14999999999999	79.00999999999999	0.01	0.0	0.0	0.0	2.19	3.07	15.54	18.33	35.92	7.279999999999999	6.96	4.07	4.720000000000001
MA0017.2	NR2F1	ENSG00000175745	0.01	0.04	0.0	0.0	70.71000000000001	77.00999999999999	26.849999999999998	35.040000000000006	0.14	0.75	45.49	51.12	0.03	0.04	17.94	3.9499999999999997	4.23	6.59	9.969999999999999	22.87	0.36000000000000004	0.34	0.04	0.04	8.89	9.47	10.16	19.98	20.049999999999997	30.990000000000002	0.19	0.0	0.0	0.0	0.0	0.0	54.50000000000001	79.8	94.94000000000001	123.14999999999999	79.00999999999999	0.01	0.0	0.0	0.0	2.19	3.07	15.54	18.33	35.92	7.279999999999999	6.96	4.07	4.720000000000001
